2020-09-23 19:40:18,432 - 2 - INFO - 搜索框正常
2020-09-23 19:40:24,605 - 2 - INFO - 页面"我的起源预下载"跳转正常,该类元素共9个，当前第1个
2020-09-23 19:40:30,824 - 2 - INFO - 页面"酷狗音乐"跳转正常,该类元素共9个，当前第2个
2020-09-23 19:40:37,034 - 2 - INFO - 页面"妖精的尾巴"跳转正常,该类元素共9个，当前第3个
2020-09-23 19:40:43,272 - 2 - INFO - 页面"uc浏览器"跳转正常,该类元素共9个，当前第4个
2020-09-23 19:40:49,564 - 2 - INFO - 页面"360安全卫士"跳转正常,该类元素共9个，当前第5个
2020-09-23 19:40:55,794 - 2 - INFO - 页面"360杀毒"跳转正常,该类元素共9个，当前第6个
2020-09-23 19:41:02,033 - 2 - INFO - 页面"CorelDRAW"跳转正常,该类元素共9个，当前第7个
2020-09-23 19:41:08,232 - 2 - INFO - 页面"金山毒霸"跳转正常,该类元素共9个，当前第8个
2020-09-23 19:41:14,518 - 2 - INFO - 页面"电脑管家"跳转正常,该类元素共9个，当前第9个
2020-09-23 19:41:20,793 - 2 - INFO - 页面"小皮助手安卓模拟器"跳转正常,该类元素共46个，当前第1个
2020-09-23 19:41:27,100 - 2 - INFO - 页面"parallels desktop"跳转正常,该类元素共46个，当前第2个
2020-09-23 19:41:33,329 - 2 - INFO - 页面"pptv网络电视"跳转正常,该类元素共46个，当前第3个
2020-09-23 19:41:39,579 - 2 - INFO - 页面"迅雷9"跳转正常,该类元素共46个，当前第4个
2020-09-23 19:41:45,814 - 2 - INFO - 页面"驱动精灵万能网卡版"跳转正常,该类元素共46个，当前第5个
2020-09-23 19:41:52,324 - 2 - INFO - 页面"火狐浏览器"跳转正常,该类元素共46个，当前第6个
2020-09-23 19:43:34,099 - 2 - ERROR - 页面"猎鹰高速下载器"跳转异常,该类元素共57个，当前第1个
2020-09-23 19:43:46,944 - 2 - INFO - 页面"迅雷"跳转正常,该类元素共57个，当前第2个
2020-09-23 19:43:53,063 - 2 - INFO - 页面"utorrent"跳转正常,该类元素共57个，当前第3个
2020-09-23 19:43:59,184 - 2 - INFO - 页面"冰点文库下载器"跳转正常,该类元素共57个，当前第4个
2020-09-23 19:44:05,302 - 2 - INFO - 页面"注意力训练"跳转正常,该类元素共57个，当前第5个
2020-09-23 19:44:11,421 - 2 - INFO - 页面"Becky! Internet Mail(邮箱客户端)"跳转正常,该类元素共57个，当前第6个
2020-09-23 19:44:17,542 - 2 - INFO - 页面"qq下载最新版"跳转正常,该类元素共57个，当前第7个
2020-09-23 19:44:23,678 - 2 - INFO - 页面"微信电脑版"跳转正常,该类元素共57个，当前第8个
2020-09-23 19:44:29,797 - 2 - INFO - 页面"Linqer(数据库文件转换软件)"跳转正常,该类元素共57个，当前第9个
2020-09-23 19:44:36,621 - 2 - INFO - 页面"西部狂野赏金猎人"跳转正常,该类元素共57个，当前第10个
2020-09-23 19:44:42,754 - 2 - INFO - 页面"qq五笔输入法2016"跳转正常,该类元素共57个，当前第11个
2020-09-23 19:44:48,876 - 2 - INFO - 页面"搜狗五笔"跳转正常,该类元素共57个，当前第12个
2020-09-23 19:44:55,000 - 2 - INFO - 页面"QQ输入法"跳转正常,该类元素共57个，当前第13个
2020-09-23 19:45:01,126 - 2 - INFO - 页面"搜狗输入法"跳转正常,该类元素共57个，当前第14个
